"Index","SKY.Open","SKY.High","SKY.Low","SKY.Close","SKY.Volume","SKY.Adjusted"
"2020-06-26",23.18,23.18,22.459999,22.690001,1668000,22.690001
"2020-06-29",22.959999,24.360001,22.59,24.219999,422700,24.219999
"2020-06-30",24.16,24.42,23.629999,24.34,480700,24.34
"2020-07-01",24.32,24.719999,23.610001,23.950001,508600,23.950001
"2020-07-02",24.530001,24.9,23.91,24.1,623000,24.1
"2020-07-06",24.68,25.09,24.15,24.52,303400,24.52
"2020-07-07",24.23,24.66,23.48,23.57,448500,23.57
"2020-07-08",23.549999,24.52,23.549999,24.23,352200,24.23
"2020-07-09",24.27,24.27,23.07,23.43,474800,23.43
"2020-07-10",23.610001,24.52,23.51,24.379999,301300,24.379999
"2020-07-13",24.620001,24.870001,23.5,23.549999,516000,23.549999
"2020-07-14",23.469999,24.540001,23.469999,24.530001,481800,24.530001
"2020-07-15",25.280001,26.209999,25.15,26,569600,26
"2020-07-16",26.190001,26.540001,25.76,26.440001,310700,26.440001
"2020-07-17",26.57,26.91,26.139999,26.459999,380200,26.459999
"2020-07-20",26.219999,26.74,25.9,26.690001,278700,26.690001
"2020-07-21",26.870001,26.99,26.42,26.58,599300,26.58
"2020-07-22",26.5,27.98,26.5,27.24,495800,27.24
"2020-07-23",27.41,27.84,25.879999,26.35,525500,26.35
"2020-07-24",26.24,26.5,25.74,26.17,334100,26.17
"2020-07-27",26.15,27.120001,26.01,27.040001,405100,27.040001
"2020-07-28",27.08,27.5,25.51,25.620001,444900,25.620001
"2020-07-29",25.940001,26.48,25.93,26.41,496500,26.41
"2020-07-30",29.030001,30.780001,27.77,28.370001,936000,28.370001
"2020-07-31",28.190001,28.52,26.950001,28.23,585000,28.23
"2020-08-03",28.4,29.139999,28.219999,28.75,451400,28.75
"2020-08-04",28.52,28.75,27.75,27.940001,430400,27.940001
"2020-08-05",28.25,28.940001,28.059999,28.77,234300,28.77
"2020-08-06",28.65,28.84,28.18,28.290001,175200,28.290001
"2020-08-07",28.040001,28.91,27.799999,28.76,253500,28.76
"2020-08-10",28.780001,30.280001,28.75,29.719999,458900,29.719999
"2020-08-11",30.24,31.209999,29.799999,30.49,791700,30.49
"2020-08-12",30.959999,31.139999,30.43,31.129999,656900,31.129999
"2020-08-13",30.889999,31.42,30.610001,31.09,347300,31.09
"2020-08-14",30.690001,31.26,30.280001,30.860001,254800,30.860001
"2020-08-17",30.98,31.85,30.93,31.5,289800,31.5
"2020-08-18",31.719999,32.009998,30.040001,30.139999,428500,30.139999
"2020-08-19",30.23,30.6,29.85,30.49,290900,30.49
"2020-08-20",30.040001,30.780001,30.040001,30.34,255200,30.34
"2020-08-21",29.940001,30.67,29.879999,30.58,278900,30.58
"2020-08-24",30.98,31,30.01,30.450001,226400,30.450001
"2020-08-25",30.629999,30.629999,29.74,30.24,220200,30.24
"2020-08-26",30.18,30.33,28.91,28.959999,439100,28.959999
"2020-08-27",29.32,29.41,28.51,28.690001,274300,28.690001
"2020-08-28",29,29.299999,28.809999,29.26,401700,29.26
"2020-08-31",29.120001,29.41,28.379999,28.540001,364200,28.540001
"2020-09-01",28.49,29.73,28.16,29.719999,326800,29.719999
"2020-09-02",29.74,29.969999,28.51,28.99,339700,28.99
"2020-09-03",29.08,29.08,27.129999,27.459999,411400,27.459999
"2020-09-04",28,28,26.139999,26.34,408100,26.34
"2020-09-08",26,26.92,25.68,26.370001,400200,26.370001
"2020-09-09",26.66,26.889999,25.99,26.24,323300,26.24
"2020-09-10",26.32,26.870001,26.290001,26.5,314400,26.5
"2020-09-11",26.82,27.139999,24.950001,24.969999,572900,24.969999
"2020-09-14",25.33,25.799999,24.969999,25.799999,390100,25.799999
"2020-09-15",26.02,26.16,25.01,25.1,391200,25.1
"2020-09-16",25.370001,26.43,25.120001,25.76,506700,25.76
"2020-09-17",25.25,25.360001,24.450001,24.68,259100,24.68
"2020-09-18",24.9,25.049999,24.23,24.889999,909300,24.889999
"2020-09-21",24.23,24.6,23.690001,24.57,514700,24.57
"2020-09-22",24.639999,26.040001,24.49,26.030001,434700,26.030001
"2020-09-23",26.01,26.719999,25.92,26.559999,1052500,26.559999
"2020-09-24",26.530001,27.48,25.860001,27,757100,27
"2020-09-25",26.74,27,26.129999,26.620001,657300,26.620001
"2020-09-28",27.030001,27.91,26.959999,27.799999,680200,27.799999
"2020-09-29",27.889999,28.049999,26.559999,26.59,335100,26.59
"2020-09-30",26.68,27.34,26.35,26.77,299700,26.77
"2020-10-01",26.99,27.73,26.610001,27.700001,723300,27.700001
"2020-10-02",26.959999,27.98,26.780001,27.76,243700,27.76
"2020-10-05",27.950001,28.709999,27.450001,28.639999,332800,28.639999
"2020-10-06",28.91,29.280001,28.200001,28.42,427000,28.42
"2020-10-07",28.93,29.059999,27.709999,28.68,319300,28.68
"2020-10-08",29.190001,30.02,29.1,29.49,302500,29.49
"2020-10-09",29.75,29.870001,28.870001,29.540001,221300,29.540001
"2020-10-12",29.629999,29.809999,29.219999,29.65,186400,29.65
"2020-10-13",29.309999,29.309999,28.33,28.370001,264400,28.370001
"2020-10-14",28.51,28.57,27.42,27.49,222100,27.49
"2020-10-15",26.969999,28.4,26.9,28.219999,290200,28.219999
"2020-10-16",28.15,28.440001,27.1,27.139999,225200,27.139999
"2020-10-19",27.18,27.73,26.6,26.68,188300,26.68
"2020-10-20",27.1,27.790001,26.77,27.219999,364300,27.219999
"2020-10-21",27.309999,27.42,26.08,26.24,305600,26.24
"2020-10-22",26.530001,26.530001,25.370001,25.9,491700,25.9
"2020-10-23",26.139999,27.26,26,27.09,275400,27.09
"2020-10-26",26.67,26.83,24.9,25.01,404100,25.01
"2020-10-27",25.030001,25.34,24.549999,24.76,399600,24.76
"2020-10-28",25.01,27.860001,23.74,26.780001,835100,26.780001
"2020-10-29",26.84,27.219999,26.16,26.950001,611200,26.950001
"2020-10-30",26.76,26.799999,25.299999,25.65,508500,25.65
"2020-11-02",25.940001,27.67,25.940001,27.629999,485400,27.629999
"2020-11-03",28.35,29.290001,28,29.07,473700,29.07
"2020-11-04",28.34,30.42,28.08,29.92,357400,29.92
"2020-11-05",30.09,30.93,29.9,30.59,306500,30.59
"2020-11-06",30.540001,30.559999,28.370001,28.469999,330400,28.469999
"2020-11-09",31,31,26.280001,26.34,665000,26.34
"2020-11-10",26.860001,27.940001,26.5,27.469999,721800,27.469999
"2020-11-11",27.799999,28.870001,27.469999,28.860001,549300,28.860001
"2020-11-12",28.52,29.07,27.610001,28.040001,486600,28.040001
"2020-11-13",28.360001,29,28.02,28.950001,227500,28.950001
"2020-11-16",29.379999,29.76,28.73,29.73,335300,29.73
"2020-11-17",29.41,31.77,29.15,31.51,549000,31.51
"2020-11-18",31.5,32.060001,31.24,31.440001,705900,31.440001
"2020-11-19",31.65,32.57,31.190001,31.91,449500,31.91
"2020-11-20",31.77,32.34,31.6,32.25,400600,32.25
"2020-11-23",32.580002,33.25,31.889999,32.919998,296700,32.919998
"2020-11-24",33.419998,33.439999,31.9,32.240002,371100,32.240002
"2020-11-25",32.080002,32.34,31.68,31.74,294000,31.74
"2020-11-27",31.98,32.720001,31.76,32.59,137900,32.59
"2020-11-30",32.279999,32.580002,30.67,30.73,495600,30.73
"2020-12-01",31.200001,31.889999,30.889999,31.200001,492700,31.200001
"2020-12-02",31.01,31.85,30.43,30.51,540700,30.51
"2020-12-03",30.620001,31.85,30.59,31.639999,357800,31.639999
"2020-12-04",31.77,31.83,31.17,31.73,343700,31.73
"2020-12-07",31.75,31.98,30.83,31.82,404900,31.82
"2020-12-08",31.33,31.379999,30.440001,30.91,326000,30.91
"2020-12-09",30.58,31.51,29.65,30.059999,501700,30.059999
"2020-12-10",29.700001,30.549999,29.57,30.33,423000,30.33
"2020-12-11",30.110001,30.790001,29.629999,29.65,336400,29.65
"2020-12-14",30.09,30.530001,29.559999,29.59,334400,29.59
"2020-12-15",29.940001,30.389999,29.24,30.09,431500,30.09
"2020-12-16",30.370001,30.780001,29.75,30.049999,427200,30.049999
"2020-12-17",30.299999,31.280001,29.76,31.280001,918100,31.280001
"2020-12-18",31.780001,33.139999,31.129999,31.540001,736200,31.540001
"2020-12-21",30.610001,31.219999,29.83,31.15,355800,31.15
"2020-12-22",31.219999,32.400002,31.15,31.559999,262100,31.559999
"2020-12-23",31.860001,31.950001,31.190001,31.48,293200,31.48
"2020-12-24",31.48,32.080002,31.09,31.65,83900,31.65
"2020-12-28",32.119999,32.119999,31.18,31.42,364700,31.42
"2020-12-29",31.65,31.65,30.34,30.75,318700,30.75
"2020-12-30",30.91,31.719999,30.809999,31.299999,225400,31.299999
"2020-12-31",31.17,31.639999,30.870001,30.940001,209500,30.940001
"2021-01-04",31.139999,31.139999,29.4,30.01,319200,30.01
"2021-01-05",29.940001,31.280001,29.879999,30.9,372500,30.9
"2021-01-06",30.91,32.459999,30.309999,32.07,448100,32.07
"2021-01-07",32.349998,33.380001,32.220001,32.82,349700,32.82
"2021-01-08",32.810001,33.279999,31.24,31.43,437900,31.43
"2021-01-11",30.790001,32.220001,30.790001,31.389999,380900,31.389999
"2021-01-12",31.629999,32.02,30.860001,31.9,329900,31.9
"2021-01-13",32.060001,33.16,31.35,31.4,199900,31.4
"2021-01-14",31.629999,32.5,31.51,32.360001,319900,32.360001
"2021-01-15",31.889999,33.139999,31.73,32.540001,334700,32.540001
"2021-01-19",32.990002,33.110001,32.419998,32.48,412700,32.48
"2021-01-20",32.639999,35.16,32.639999,34.900002,573300,34.900002
"2021-01-21",35.32,36.66,34.939999,35.82,586900,35.82
"2021-01-22",35.240002,35.650002,34.599998,35.07,394900,35.07
"2021-01-25",35.02,35.639999,33.959999,34.290001,243100,34.290001
"2021-01-26",34.709999,34.91,33.18,33.389999,220200,33.389999
"2021-01-27",32.549999,32.98,31.719999,32.110001,389100,32.110001
"2021-01-28",32.279999,33.209999,31.870001,32.77,334800,32.77
"2021-01-29",32.669998,34.189999,31.809999,33.630001,545500,33.630001
"2021-02-01",34.549999,36.240002,34.330002,35.060001,641300,35.060001
"2021-02-02",38.400002,40,37.439999,39.549999,1111300,39.549999
"2021-02-03",39.740002,41.43,37.5,39.34,669900,39.34
"2021-02-04",39.849998,39.939999,38.900002,39.450001,428900,39.450001
"2021-02-05",40,40.939999,39.16,40.93,339100,40.93
"2021-02-08",40.950001,42.580002,40.720001,42.52,433300,42.52
"2021-02-09",42.639999,42.639999,41.27,41.990002,312600,41.990002
"2021-02-10",42.139999,43.25,41.200001,42.790001,335600,42.790001
